N , 1000 , Threads , 1 , TEMPO DECORRIDO , 0.004232 , Primos , 168
N , 1000 , Threads , 1 , TEMPO DECORRIDO , 0.000309 , Primos , 168
N , 1000 , Threads , 1 , TEMPO DECORRIDO , 0.000515 , Primos , 168
N , 1000 , Threads , 1 , TEMPO DECORRIDO , 0.000602 , Primos , 168
N , 1000 , Threads , 1 , TEMPO DECORRIDO , 0.000646 , Primos , 168
N , 1000000 , Threads , 1 , TEMPO DECORRIDO , 0.857540 , Primos , 78498
N , 1000000 , Threads , 1 , TEMPO DECORRIDO , 0.841154 , Primos , 78498
N , 1000000 , Threads , 1 , TEMPO DECORRIDO , 0.868581 , Primos , 78498
N , 1000000 , Threads , 1 , TEMPO DECORRIDO , 0.859042 , Primos , 78498
N , 1000000 , Threads , 1 , TEMPO DECORRIDO , 0.856022 , Primos , 78498
N , 1000 , Threads , 2 , TEMPO DECORRIDO , 0.000465 , Primos , 168
N , 1000 , Threads , 2 , TEMPO DECORRIDO , 0.000432 , Primos , 168
N , 1000 , Threads , 2 , TEMPO DECORRIDO , 0.000500 , Primos , 168
N , 1000 , Threads , 2 , TEMPO DECORRIDO , 0.000518 , Primos , 168
N , 1000 , Threads , 2 , TEMPO DECORRIDO , 0.000510 , Primos , 168
N , 1000000 , Threads , 2 , TEMPO DECORRIDO , 0.931571 , Primos , 78498
N , 1000000 , Threads , 2 , TEMPO DECORRIDO , 0.862299 , Primos , 78498
N , 1000000 , Threads , 2 , TEMPO DECORRIDO , 0.853101 , Primos , 78498
N , 1000000 , Threads , 2 , TEMPO DECORRIDO , 0.863714 , Primos , 78498
N , 1000000 , Threads , 2 , TEMPO DECORRIDO , 0.837950 , Primos , 78498
N , 1000 , Threads , 4 , TEMPO DECORRIDO , 0.000736 , Primos , 168
N , 1000 , Threads , 4 , TEMPO DECORRIDO , 0.001083 , Primos , 168
N , 1000 , Threads , 4 , TEMPO DECORRIDO , 0.000635 , Primos , 168
N , 1000 , Threads , 4 , TEMPO DECORRIDO , 0.000824 , Primos , 168
N , 1000 , Threads , 4 , TEMPO DECORRIDO , 0.002719 , Primos , 168
N , 1000000 , Threads , 4 , TEMPO DECORRIDO , 0.452098 , Primos , 78498
N , 1000000 , Threads , 4 , TEMPO DECORRIDO , 0.426236 , Primos , 78498
N , 1000000 , Threads , 4 , TEMPO DECORRIDO , 0.432058 , Primos , 78498
N , 1000000 , Threads , 4 , TEMPO DECORRIDO , 0.441152 , Primos , 78498
N , 1000000 , Threads , 4 , TEMPO DECORRIDO , 0.451545 , Primos , 78498
